日期,代码,名称,收盘,涨跌幅%,成交量,战法信号,买入信号强度,操作建议
2026-01-06,002284,亚太股份,16.06,6.78,419867,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,603806,福斯特,14.3,2.36,253338,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600446,金证股份,17.02,6.04,596369,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600710,苏美达,10.95,1.67,142631,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002697,红旗连锁,6.02,1.52,963894,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,000050,深天马Ａ,9.46,3.96,497313,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002187,广百股份,7.7,4.05,692527,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,000737,北方铜业,16.01,2.96,1201026,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,601898,中煤能源,13.0,4.0,444455,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,000301,东方盛虹,10.89,1.78,331723,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002539,云图控股,12.5,4.6,363750,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,603399,永杉锂业,11.38,6.06,565269,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600603,广汇物流,6.5,3.17,205788,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,605228,神通科技,16.67,10.03,235058,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600643,爱建集团,5.65,2.91,262883,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002795,永和智控,6.85,9.95,487959,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600218,全柴动力,10.53,1.74,166960,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,000553,安道麦A,5.71,2.33,98468,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002588,史丹利,10.12,2.22,114470,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,000862,银星能源,6.0,1.69,188895,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,000410,沈阳机床,7.4,1.93,372040,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002561,徐家汇,8.95,1.82,158263,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600733,北汽蓝谷,8.29,2.98,2117322,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600967,内蒙一机,17.5,1.92,691015,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
