Code,Name,Latest_Close,Latest_Volume,Max_Volume_120d,Low_Price_40d_Threshold
000501,武商集团,9.79,158701,13676728,9.8296
000561,烽火电子,11.17,175222,44638414,11.1733
600246,万通发展,11.57,342959,110029218,11.644400000000001
601519,大智慧,12.29,336723,43717291,12.380299999999998
000061,农 产 品,9.18,76230,18952988,9.2117
000735,罗 牛 山,7.75,235392,33586372,7.8429
601086,国芳集团,9.84,49909,10116591,9.873899999999999
600127,金健米业,6.67,91994,28609901,6.6883
000716,黑芝麻,6.11,115640,25254519,6.1271
600635,大众公用,6.24,277777,93962542,6.2679
002053,云南能投,11.34,30930,11539135,11.3427
600712,南宁百货,6.48,59331,10091262,6.5175
000505,京粮控股,7.07,128333,17675811,7.0894
002731,萃华珠宝,10.23,3256,46350453,10.3992
002570,贝因美,6.09,149208,26973240,6.0926
000876,新 希 望,8.68,208218,53921108,8.6889
600509,天富能源,8.29,165265,59179750,8.29
002251,步步高,5.05,406054,69161998,5.076099999999999
002051,中工国际,8.52,94909,15594618,8.5313
600095,湘财股份,10.87,175594,32561074,10.9012
603718,海利生物,5.27,236035,38930559,5.274
601566,九牧王,11.84,134480,11560131,11.9942
000759,中百集团,7.15,105801,24965144,7.202800000000001
002745,木林森,9.12,188959,85960288,9.163699999999999
600930,华电新能,5.92,278029,103270258,5.9359
