代码,名称,现价,涨跌幅%,RSI,历史信号胜率%,信号强度,操作建议
603166,福达股份,13.09,-2.39,33.82,66.67,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
002097,山河智能,9.87,-2.47,31.93,52.63,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
601233,桐昆股份,18.19,-3.19,33.83,50.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
000561,烽火电子,9.52,-1.55,34.43,50.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
002493,荣盛石化,12.18,-1.22,31.73,41.67,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
000716,黑芝麻,5.23,-1.13,32.87,41.03,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
600199,金种子酒,8.21,-0.61,33.33,36.36,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
002062,宏润建设,7.32,-2.79,33.87,35.71,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
002215,诺 普 信,10.27,-1.34,34.3,35.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
002171,楚江新材,10.98,-2.57,29.71,18.52,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
605155,西大门,15.54,-1.71,32.63,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
